Mouse gene name,Mouse gene stable ID,Mouse homology type,Gene stable ID,Gene name
,,,ENSGALG00000034587,
,,,ENSGALG00000049387,
,,,ENSGALG00000038763,
,,,ENSGALG00000048970,
,,,ENSGALG00000050236,
,,,ENSGALG00000053022,
,,,ENSGALG00000046901,
,,,ENSGALG00000047803,
,,,ENSGALG00000050247,
,,,ENSGALG00000053011,
,,,ENSGALG00000050032,
,,,ENSGALG00000048793,
,,,ENSGALG00000051108,
,,,ENSGALG00000052817,
,,,ENSGALG00000048835,
,,,ENSGALG00000050227,
,,,ENSGALG00000054728,
,,,ENSGALG00000047655,
,,,ENSGALG00000052085,
,,,ENSGALG00000049277,
,,,ENSGALG00000042128,
,,,ENSGALG00000054409,
,,,ENSGALG00000050839,
,,,ENSGALG00000035624,
Cnpy3,ENSMUSG00000023973,ortholog_one2one,ENSGALG00000028471,CNPY3
Ttll13,ENSMUSG00000045467,ortholog_one2one,ENSGALG00000020921,
Hepacam,ENSMUSG00000046240,ortholog_one2one,ENSGALG00000039356,HEPACAM
,,,ENSGALG00000052483,
,,,ENSGALG00000046322,
,,,ENSGALG00000053940,
,,,ENSGALG00000035908,
,,,ENSGALG00000030592,
,,,ENSGALG00000051963,
,,,ENSGALG00000049630,
,,,ENSGALG00000055062,
,,,ENSGALG00000049135,
,,,ENSGALG00000046919,
Psmb7,ENSMUSG00000026750,ortholog_one2one,ENSGALG00000001103,PSMB7
Zmat2,ENSMUSG00000001383,ortholog_one2one,ENSGALG00000041746,ZMAT2
Ube2r2,ENSMUSG00000036241,ortholog_one2many,ENSGALG00000048542,
,,,ENSGALG00000054325,
Gdpgp1,ENSMUSG00000050973,ortholog_one2one,ENSGALG00000045045,
,,,ENSGALG00000050891,
,,,ENSGALG00000049338,
,,,ENSGALG00000052409,
,,,ENSGALG00000036226,
,,,ENSGALG00000049410,
,,,ENSGALG00000052618,
,,,ENSGALG00000047714,
,,,ENSGALG00000048052,
,,,ENSGALG00000041794,
,,,ENSGALG00000051762,
,,,ENSGALG00000050003,
,,,ENSGALG00000051067,
,,,ENSGALG00000054555,
,,,ENSGALG00000052841,
,,,ENSGALG00000050936,
,,,ENSGALG00000040945,
,,,ENSGALG00000050106,
,,,ENSGALG00000054883,
,,,ENSGALG00000049797,
,,,ENSGALG00000050867,
,,,ENSGALG00000048977,
,,,ENSGALG00000054510,
,,,ENSGALG00000052843,
,,,ENSGALG00000053524,
,,,ENSGALG00000047430,
,,,ENSGALG00000052905,
,,,ENSGALG00000038561,
,,,ENSGALG00000047842,
,,,ENSGALG00000047041,
,,,ENSGALG00000051421,
Bend5,ENSMUSG00000028545,ortholog_one2one,ENSGALG00000036909,BEND5
Fam178b,ENSMUSG00000046337,ortholog_one2one,ENSGALG00000045608,
,,,ENSGALG00000048545,
,,,ENSGALG00000046945,
,,,ENSGALG00000050321,
,,,ENSGALG00000050410,
,,,ENSGALG00000049129,
,,,ENSGALG00000048112,
,,,ENSGALG00000055031,
,,,ENSGALG00000032384,
,,,ENSGALG00000051343,
,,,ENSGALG00000035807,
,,,ENSGALG00000052184,
,,,ENSGALG00000052764,
,,,ENSGALG00000047307,
,,,ENSGALG00000054693,
,,,ENSGALG00000049924,
,,,ENSGALG00000047093,
,,,ENSGALG00000052613,
,,,ENSGALG00000047674,
,,,ENSGALG00000047183,
,,,ENSGALG00000052722,
,,,ENSGALG00000053646,
,,,ENSGALG00000054309,
,,,ENSGALG00000052323,
,,,ENSGALG00000051193,
,,,ENSGALG00000052554,
,,,ENSGALG00000053959,
,,,ENSGALG00000048787,
,,,ENSGALG00000053796,
,,,ENSGALG00000051042,
Prkar1b,ENSMUSG00000025855,ortholog_one2one,ENSGALG00000003675,PRKAR1B
,,,ENSGALG00000052450,
ETV3L,ENSMUSG00000118505,ortholog_one2many,ENSGALG00000027138,
Eid3,ENSMUSG00000109864,ortholog_one2many,ENSGALG00000009504,
,,,ENSGALG00000052314,
,,,ENSGALG00000054587,
,,,ENSGALG00000053008,
,,,ENSGALG00000048881,
,,,ENSGALG00000051321,
,,,ENSGALG00000048397,
,,,ENSGALG00000051775,
Ccser2,ENSMUSG00000058690,ortholog_one2one,ENSGALG00000037682,CCSER2
Rhbdf2,ENSMUSG00000020806,ortholog_one2one,ENSGALG00000001943,RHBDF2
,,,ENSGALG00000042606,
,,,ENSGALG00000034125,
,,,ENSGALG00000044223,
,,,ENSGALG00000048871,
,,,ENSGALG00000054385,
,,,ENSGALG00000051381,
,,,ENSGALG00000054827,
,,,ENSGALG00000053996,
,,,ENSGALG00000049507,
,,,ENSGALG00000047259,
,,,ENSGALG00000050093,
,,,ENSGALG00000053097,
,,,ENSGALG00000039312,
,,,ENSGALG00000050531,
,,,ENSGALG00000053387,
,,,ENSGALG00000052118,
,,,ENSGALG00000051816,
,,,ENSGALG00000052727,
,,,ENSGALG00000050980,
Pcca,ENSMUSG00000041650,ortholog_one2one,ENSGALG00000016872,PCCA
,,,ENSGALG00000045228,
Azi2,ENSMUSG00000039285,ortholog_one2one,ENSGALG00000011428,AZI2
Zfyve26,ENSMUSG00000066440,ortholog_one2one,ENSGALG00000028762,ZFYVE26
Cyb5b,ENSMUSG00000031924,ortholog_one2many,ENSGALG00000000660,CYB5B
Nop58,ENSMUSG00000026020,ortholog_one2one,ENSGALG00000008454,NOP58
,,,ENSGALG00000046083,
,,,ENSGALG00000025458,gga-mir-1809
,,,ENSGALG00000045132,
Yeats4,ENSMUSG00000020171,ortholog_one2one,ENSGALG00000029135,YEATS4
,,,ENSGALG00000033417,SSPO
,,,ENSGALG00000050542,
,,,ENSGALG00000030852,
,,,ENSGALG00000052159,
,,,ENSGALG00000048751,
,,,ENSGALG00000024395,
,,,ENSGALG00000048688,
,,,ENSGALG00000051625,
,,,ENSGALG00000048196,
,,,ENSGALG00000050908,
,,,ENSGALG00000052793,
,,,ENSGALG00000049302,
Etv3,ENSMUSG00000003382,ortholog_one2one,ENSGALG00000000669,ETV3
,,,ENSGALG00000025811,
,,,ENSGALG00000053340,
,,,ENSGALG00000053567,
,,,ENSGALG00000049540,
,,,ENSGALG00000054892,
,,,ENSGALG00000054328,
,,,ENSGALG00000030849,
,,,ENSGALG00000052847,
,,,ENSGALG00000049769,
,,,ENSGALG00000048493,
,,,ENSGALG00000054934,
,,,ENSGALG00000049955,
,,,ENSGALG00000053418,
,,,ENSGALG00000047331,
,,,ENSGALG00000054290,
,,,ENSGALG00000051450,
,,,ENSGALG00000052785,
,,,ENSGALG00000047844,
,,,ENSGALG00000045887,
,,,ENSGALG00000050854,
,,,ENSGALG00000050906,
,,,ENSGALG00000047512,
,,,ENSGALG00000050955,
,,,ENSGALG00000047042,
,,,ENSGALG00000031866,
,,,ENSGALG00000054734,
Ppp1r2,ENSMUSG00000047714,ortholog_one2one,ENSGALG00000029789,PPP1R2
Polr1b,ENSMUSG00000027395,ortholog_one2one,ENSGALG00000032273,POLR1B
Cygb,ENSMUSG00000020810,ortholog_one2one,ENSGALG00000001892,CYGB
,,,ENSGALG00000040780,UBAP2
Lyz2,ENSMUSG00000069516,ortholog_one2many,ENSGALG00000009963,LYZ
Lyz1,ENSMUSG00000069515,ortholog_one2many,ENSGALG00000009963,LYZ
9530003J23Rik,ENSMUSG00000020177,ortholog_one2many,ENSGALG00000009963,LYZ
,,,ENSGALG00000052734,
Zfp467,ENSMUSG00000068551,ortholog_one2one,ENSGALG00000053653,ZNF467
Lrrc61,ENSMUSG00000073096,ortholog_one2one,ENSGALG00000053116,LRRC61
Spata6,ENSMUSG00000034401,ortholog_one2one,ENSGALG00000010502,SPATA6
Cib1,ENSMUSG00000030538,ortholog_one2one,ENSGALG00000008302,CIB4
Snord1b,ENSMUSG00000077604,ortholog_one2many,ENSGALG00000052902,
Gm24253,ENSMUSG00000065635,ortholog_one2many,ENSGALG00000052902,
Snord1c,ENSMUSG00000065640,ortholog_one2many,ENSGALG00000052902,
,,,ENSGALG00000044904,PCDHA4
,,,ENSGALG00000050791,
,,,ENSGALG00000051100,
,,,ENSGALG00000054581,
,,,ENSGALG00000048023,
,,,ENSGALG00000050326,
,,,ENSGALG00000054276,
,,,ENSGALG00000053984,
,,,ENSGALG00000050230,
,,,ENSGALG00000049698,
,,,ENSGALG00000053060,
,,,ENSGALG00000030129,
,,,ENSGALG00000008153,
,,,ENSGALG00000050624,
,,,ENSGALG00000048922,
,,,ENSGALG00000054443,
,,,ENSGALG00000051854,
,,,ENSGALG00000049264,
,,,ENSGALG00000053590,
,,,ENSGALG00000049687,
,,,ENSGALG00000048878,
Eomes,ENSMUSG00000032446,ortholog_one2one,ENSGALG00000027247,EOMES
,,,ENSGALG00000052303,
Snord1a,ENSMUSG00000065094,ortholog_one2one,ENSGALG00000047788,
,,,ENSGALG00000049223,
Fxyd1,ENSMUSG00000036570,ortholog_one2one,ENSGALG00000054974,
,,,ENSGALG00000050519,
Slc5a9,ENSMUSG00000028544,ortholog_one2one,ENSGALG00000010494,SLC5A9
Terf2,ENSMUSG00000031921,ortholog_one2one,ENSGALG00000000657,TERF2
Snrnp200,ENSMUSG00000003660,ortholog_one2many,ENSGALG00000031298,
,,,ENSGALG00000045614,
Rdh11,ENSMUSG00000066441,ortholog_one2one,ENSGALG00000009538,
,,,ENSGALG00000055138,
,,,ENSGALG00000054903,
,,,ENSGALG00000051114,
Kctd20,ENSMUSG00000005936,ortholog_one2one,ENSGALG00000000511,KCTD20
Ggact,ENSMUSG00000041625,ortholog_one2one,ENSGALG00000022758,GGACT
,,,ENSGALG00000048637,
,,,ENSGALG00000044521,
,,,ENSGALG00000054618,
,,,ENSGALG00000043142,
Sema4b,ENSMUSG00000030539,ortholog_one2one,ENSGALG00000008297,SEMA4B
Snrnp200,ENSMUSG00000003660,ortholog_one2many,ENSGALG00000047673,
Trabd2b,ENSMUSG00000070867,ortholog_one2one,ENSGALG00000027655,TRABD2B
,,,ENSGALG00000034086,
,,,ENSGALG00000049961,
,,,ENSGALG00000053334,
,,,ENSGALG00000053636,
,,,ENSGALG00000050846,
,,,ENSGALG00000051962,
,,,ENSGALG00000048146,
,,,ENSGALG00000048724,
,,,ENSGALG00000054662,
,,,ENSGALG00000031473,
Nek6,ENSMUSG00000026749,ortholog_one2one,ENSGALG00000001118,NEK6
Acadm,ENSMUSG00000062908,ortholog_one2one,ENSGALG00000051260,
Zim1,ENSMUSG00000002266,ortholog_one2many,ENSGALG00000046743,
,,,ENSGALG00000051847,
,,,ENSGALG00000048328,
,,,ENSGALG00000047194,
,,,ENSGALG00000031791,
,,,ENSGALG00000025848,gga-mir-6622
Ttl,ENSMUSG00000027394,ortholog_one2one,ENSGALG00000008614,TTL
Tmem127,ENSMUSG00000034850,ortholog_one2one,ENSGALG00000033092,TMEM127
,,,ENSGALG00000049843,
Sec13,ENSMUSG00000030298,ortholog_one2one,ENSGALG00000008419,SEC13
Tmed6,ENSMUSG00000031919,ortholog_one2one,ENSGALG00000000654,TMED6
Ppme1,ENSMUSG00000030718,ortholog_one2one,ENSGALG00000017312,PPME1
,,,ENSGALG00000046797,
Vti1b,ENSMUSG00000021124,ortholog_one2one,ENSGALG00000009526,VTI1B
Apod,ENSMUSG00000022548,ortholog_one2one,ENSGALG00000006995,APOD
Rabggta,ENSMUSG00000040472,ortholog_one2one,ENSGALG00000046939,
,,,ENSGALG00000049599,
,,,ENSGALG00000053751,
,,,ENSGALG00000037374,
,,,ENSGALG00000046846,
,,,ENSGALG00000048824,
,,,ENSGALG00000048648,
Tmtc4,ENSMUSG00000041594,ortholog_one2one,ENSGALG00000016870,TMTC4
,,,ENSGALG00000000504,ETV7
,,,ENSGALG00000052525,
,,,ENSGALG00000049370,
,,,ENSGALG00000048075,
,,,ENSGALG00000051053,
,,,ENSGALG00000048695,
,,,ENSGALG00000052456,
,,,ENSGALG00000046925,
,,,ENSGALG00000052005,
,,,ENSGALG00000035389,
,,,ENSGALG00000048148,
,,,ENSGALG00000046861,
,,,ENSGALG00000054762,
,,,ENSGALG00000047599,
,,,ENSGALG00000051861,
,,,ENSGALG00000048963,
,,,ENSGALG00000051631,
,,,ENSGALG00000048756,
,,,ENSGALG00000046736,
,,,ENSGALG00000054540,
,,,ENSGALG00000049873,
,,,ENSGALG00000053977,
,,,ENSGALG00000051786,
,,,ENSGALG00000054719,
,,,ENSGALG00000052679,
,,,ENSGALG00000043225,
,,,ENSGALG00000053017,
,,,ENSGALG00000047468,
Cd2,ENSMUSG00000027863,ortholog_one2one,ENSGALG00000027712,SLAMF8
Ccdc15,ENSMUSG00000034303,ortholog_one2one,ENSGALG00000033570,
,,,ENSGALG00000054529,
,,,ENSGALG00000054064,
,,,ENSGALG00000050614,
,,,ENSGALG00000048161,
,,,ENSGALG00000043500,
,,,ENSGALG00000050476,
,,,ENSGALG00000047107,
,,,ENSGALG00000048845,
,,,ENSGALG00000055100,
,,,ENSGALG00000051653,
,,,ENSGALG00000047133,
,,,ENSGALG00000051134,
,,,ENSGALG00000047700,
,,,ENSGALG00000053352,
,,,ENSGALG00000041312,
,,,ENSGALG00000053660,
,,,ENSGALG00000052281,
,,,ENSGALG00000050029,
,,,ENSGALG00000054346,
,,,ENSGALG00000050871,
,,,ENSGALG00000052699,
,,,ENSGALG00000050812,
,,,ENSGALG00000054349,
,,,ENSGALG00000053532,
,,,ENSGALG00000050645,
,,,ENSGALG00000052045,
,,,ENSGALG00000047059,
,,,ENSGALG00000052948,
,,,ENSGALG00000051830,
,,,ENSGALG00000048997,
,,,ENSGALG00000051183,
,,,ENSGALG00000046679,
,,,ENSGALG00000052257,
,,,ENSGALG00000049400,
,,,ENSGALG00000046837,
Hadha,ENSMUSG00000025745,ortholog_one2one,ENSGALG00000016536,HADHA
,,,ENSGALG00000049292,
,,,ENSGALG00000052379,
,,,ENSGALG00000054798,
,,,ENSGALG00000050903,
,,,ENSGALG00000047759,
,,,ENSGALG00000053412,
,,,ENSGALG00000000497,
,,,ENSGALG00000053348,
,,,ENSGALG00000049780,
,,,ENSGALG00000047412,
Nek1,ENSMUSG00000031644,ortholog_one2one,ENSGALG00000009683,NEK1
Zim1,ENSMUSG00000002266,ortholog_one2many,ENSGALG00000049900,
Ptgfrn,ENSMUSG00000027864,ortholog_one2one,ENSGALG00000015464,PTGFRN
Lhx2,ENSMUSG00000000247,ortholog_one2one,ENSGALG00000001124,LHX2
,,,ENSGALG00000013993,VNN1
Col14a1,ENSMUSG00000022371,ortholog_one2one,ENSGALG00000037675,COL14A1
,,,ENSGALG00000052555,
,,,ENSGALG00000033767,
,,,ENSGALG00000048335,
,,,ENSGALG00000051503,
,,,ENSGALG00000049168,
,,,ENSGALG00000053067,
,,,ENSGALG00000048595,
,,,ENSGALG00000048479,
,,,ENSGALG00000054610,
,,,ENSGALG00000049975,
,,,ENSGALG00000054283,
,,,ENSGALG00000051011,
,,,ENSGALG00000047619,
,,,ENSGALG00000052367,
,,,ENSGALG00000050758,
,,,ENSGALG00000053009,
,,,ENSGALG00000048943,
,,,ENSGALG00000052685,
,,,ENSGALG00000049809,
,,,ENSGALG00000048836,
,,,ENSGALG00000052822,
,,,ENSGALG00000050234,
,,,ENSGALG00000053718,
,,,ENSGALG00000051720,
,,,ENSGALG00000048894,
,,,ENSGALG00000053256,
,,,ENSGALG00000054601,
,,,ENSGALG00000050514,
,,,ENSGALG00000054024,
,,,ENSGALG00000052631,
Kirrel,ENSMUSG00000041734,ortholog_one2one,ENSGALG00000029528,KIRREL1
Ate1,ENSMUSG00000030850,ortholog_one2one,ENSGALG00000009502,ATE1
,,,ENSGALG00000051995,
,,,ENSGALG00000050238,
,,,ENSGALG00000053821,
,,,ENSGALG00000052226,
,,,ENSGALG00000047374,
,,,ENSGALG00000047721,
Slc22a7,ENSMUSG00000067144,ortholog_one2one,ENSGALG00000001661,SLC22A7
Cacna1a,ENSMUSG00000034656,ortholog_one2one,ENSGALG00000054250,
,,,ENSGALG00000043260,
Sumo1,ENSMUSG00000026021,ortholog_one2one,ENSGALG00000008435,SUMO1
,,,ENSGALG00000026417,
Garem2,ENSMUSG00000044576,ortholog_one2one,ENSGALG00000048459,GAREM2
Kcna3,ENSMUSG00000047959,ortholog_one2one,ENSGALG00000036942,KCNA3
,,,ENSGALG00000042474,FOXD2
Foxe1,ENSMUSG00000070990,ortholog_one2one,ENSGALG00000028153,
,,,ENSGALG00000053103,
,,,ENSGALG00000047113,
,,,ENSGALG00000034183,
,,,ENSGALG00000050493,
,,,ENSGALG00000049298,
,,,ENSGALG00000047974,
,,,ENSGALG00000052543,
,,,ENSGALG00000031392,
,,,ENSGALG00000054213,
,,,ENSGALG00000048156,
,,,ENSGALG00000029950,
,,,ENSGALG00000052701,
,,,ENSGALG00000049842,
,,,ENSGALG00000051994,
,,,ENSGALG00000051912,
,,,ENSGALG00000053287,
,,,ENSGALG00000051216,
,,,ENSGALG00000047779,
,,,ENSGALG00000042265,
,,,ENSGALG00000048726,
,,,ENSGALG00000052110,
,,,ENSGALG00000050337,
,,,ENSGALG00000053789,
,,,ENSGALG00000053909,
,,,ENSGALG00000047680,
Cd244a,ENSMUSG00000004709,ortholog_one2many,ENSGALG00000051628,
,,,ENSGALG00000013031,CECR1
Kcna2,ENSMUSG00000040724,ortholog_one2one,ENSGALG00000000442,KCNA2
,,,ENSGALG00000052297,
,,,ENSGALG00000039097,
St6galnac2,ENSMUSG00000057286,ortholog_one2one,ENSGALG00000001883,ST6GALNAC2
,,,ENSGALG00000028552,
Arg2,ENSMUSG00000021125,ortholog_one2one,ENSGALG00000009519,ARG2
,,,ENSGALG00000006976,
,,,ENSGALG00000025640,U4
,,,ENSGALG00000042096,
,,,ENSGALG00000052736,
,,,ENSGALG00000055032,
,,,ENSGALG00000052776,
,,,ENSGALG00000048859,
,,,ENSGALG00000039355,
Fzd7,ENSMUSG00000041075,ortholog_one2one,ENSGALG00000034973,FZD7
,,,ENSGALG00000047862,
,,,ENSGALG00000052597,
,,,ENSGALG00000054857,
,,,ENSGALG00000047311,
,,,ENSGALG00000050612,
,,,ENSGALG00000047746,
,,,ENSGALG00000050435,
,,,ENSGALG00000052943,
,,,ENSGALG00000047786,
,,,ENSGALG00000052299,
,,,ENSGALG00000050355,
,,,ENSGALG00000037548,
,,,ENSGALG00000053994,
,,,ENSGALG00000053161,
,,,ENSGALG00000046870,
,,,ENSGALG00000054639,
,,,ENSGALG00000049592,
,,,ENSGALG00000051975,
,,,ENSGALG00000048385,
,,,ENSGALG00000054814,
,,,ENSGALG00000051294,
,,,ENSGALG00000048619,
,,,ENSGALG00000054118,
,,,ENSGALG00000048535,
,,,ENSGALG00000048317,
Slc37a2,ENSMUSG00000032122,ortholog_one2one,ENSGALG00000035842,SLC37A2
,,,ENSGALG00000037400,
,,,ENSGALG00000047626,
,,,ENSGALG00000049416,
,,,ENSGALG00000049123,
,,,ENSGALG00000051526,
,,,ENSGALG00000046948,
,,,ENSGALG00000049760,
,,,ENSGALG00000037124,
,,,ENSGALG00000054520,
,,,ENSGALG00000052839,
,,,ENSGALG00000050428,
,,,ENSGALG00000052216,
,,,ENSGALG00000052188,
,,,ENSGALG00000053513,
,,,ENSGALG00000047128,
,,,ENSGALG00000050949,
,,,ENSGALG00000051688,
,,,ENSGALG00000048783,
,,,ENSGALG00000051591,
Slc4a7,ENSMUSG00000021733,ortholog_one2one,ENSGALG00000011405,SLC4A7
Rarres2,ENSMUSG00000009281,ortholog_one2one,ENSGALG00000042642,RARRES2
,,,ENSGALG00000037616,
,,,ENSGALG00000054331,
P4ha3,ENSMUSG00000051048,ortholog_one2one,ENSGALG00000042030,P4HA3
Kcna10,ENSMUSG00000042861,ortholog_one2one,ENSGALG00000000441,KCNA10
,,,ENSGALG00000051741,
,,,ENSGALG00000054720,
,,,ENSGALG00000052109,
,,,ENSGALG00000054816,
,,,ENSGALG00000054969,
,,,ENSGALG00000053289,
,,,ENSGALG00000046701,
Nalcn,ENSMUSG00000000197,ortholog_one2one,ENSGALG00000016868,NALCN
,,,ENSGALG00000053667,
,,,ENSGALG00000019355,CPSF6
,,,ENSGALG00000047123,
,,,ENSGALG00000051464,
,,,ENSGALG00000050079,
,,,ENSGALG00000054218,
,,,ENSGALG00000052229,
,,,ENSGALG00000052909,
,,,ENSGALG00000048074,
,,,ENSGALG00000049645,
,,,ENSGALG00000053676,
,,,ENSGALG00000054623,
,,,ENSGALG00000047778,
,,,ENSGALG00000051592,
,,,ENSGALG00000053530,
,,,ENSGALG00000047896,
,,,ENSGALG00000054022,
,,,ENSGALG00000047875,
Pigh,ENSMUSG00000021120,ortholog_one2one,ENSGALG00000009510,PIGH
Hvcn1,ENSMUSG00000064267,ortholog_one2one,ENSGALG00000004562,HVCN1
Nip7,ENSMUSG00000031917,ortholog_one2one,ENSGALG00000000650,NIP7
Neu3,ENSMUSG00000035239,ortholog_one2one,ENSGALG00000028960,NEU3
,,,ENSGALG00000051242,
,,,ENSGALG00000039816,
,,,ENSGALG00000053862,
,,,ENSGALG00000047983,
,,,ENSGALG00000047270,
,,,ENSGALG00000050587,
,,,ENSGALG00000018702,
,,,ENSGALG00000042995,
,,,ENSGALG00000040336,
,,,ENSGALG00000047570,
,,,ENSGALG00000049963,
,,,ENSGALG00000054594,
Zfp775,ENSMUSG00000007216,ortholog_one2one,ENSGALG00000038926,
Cd244a,ENSMUSG00000004709,ortholog_one2many,ENSGALG00000040002,
Ghrl,ENSMUSG00000064177,ortholog_one2one,ENSGALG00000008411,GHRL
Hdhd5,ENSMUSG00000058979,ortholog_one2one,ENSGALG00000013026,HDHD5
,,,ENSGALG00000047751,
,,,ENSGALG00000044191,
,,,ENSGALG00000052681,
,,,ENSGALG00000051835,
,,,ENSGALG00000047898,
,,,ENSGALG00000028346,
,,,ENSGALG00000048377,
,,,ENSGALG00000053036,
,,,ENSGALG00000049021,
,,,ENSGALG00000052744,
,,,ENSGALG00000051668,
,,,ENSGALG00000048581,
,,,ENSGALG00000046959,
,,,ENSGALG00000051307,
,,,ENSGALG00000054815,
Cdk15,ENSMUSG00000026023,ortholog_one2one,ENSGALG00000008428,CDK15
Haus8,ENSMUSG00000035439,ortholog_one2one,ENSGALG00000003727,HAUS8
,,,ENSGALG00000050713,
,,,ENSGALG00000049946,
,,,ENSGALG00000054360,
,,,ENSGALG00000053624,
,,,ENSGALG00000051467,
,,,ENSGALG00000037026,
,,,ENSGALG00000047991,
,,,ENSGALG00000054006,
,,,ENSGALG00000044688,
,,,ENSGALG00000036839,
,,,ENSGALG00000033093,
,,,ENSGALG00000048852,
,,,ENSGALG00000054830,
,,,ENSGALG00000051379,
,,,ENSGALG00000054638,
,,,ENSGALG00000047243,
,,,ENSGALG00000053488,
,,,ENSGALG00000054980,
,,,ENSGALG00000035783,
,,,ENSGALG00000049062,
Rab10,ENSMUSG00000020671,ortholog_one2one,ENSGALG00000016535,RAB10
Pfkm,ENSMUSG00000033065,ortholog_one2one,ENSGALG00000033271,PFKM
,,,ENSGALG00000049243,
,,,ENSGALG00000040133,
,,,ENSGALG00000048812,
,,,ENSGALG00000050538,
,,,ENSGALG00000048485,
,,,ENSGALG00000037178,
,,,ENSGALG00000039919,
,,,ENSGALG00000048111,
,,,ENSGALG00000052548,
,,,ENSGALG00000054261,
,,,ENSGALG00000054332,
,,,ENSGALG00000049291,
,,,ENSGALG00000045154,
,,,ENSGALG00000051724,
,,,ENSGALG00000054392,
,,,ENSGALG00000047147,
,,,ENSGALG00000054047,
,,,ENSGALG00000001885,
,,,ENSGALG00000030792,
,,,ENSGALG00000045366,
,,,ENSGALG00000050718,
,,,ENSGALG00000048274,
,,,ENSGALG00000052222,
,,,ENSGALG00000050957,
,,,ENSGALG00000047503,
,,,ENSGALG00000046905,
,,,ENSGALG00000047006,
Ttbk1,ENSMUSG00000015599,ortholog_one2one,ENSGALG00000008627,TTBK1
,,,ENSGALG00000052440,
,,,ENSGALG00000035970,
Cog8,ENSMUSG00000031916,ortholog_one2one,ENSGALG00000043126,
Spcs2,ENSMUSG00000035227,ortholog_one2one,ENSGALG00000019036,SPCS2
Slc18b1,ENSMUSG00000037455,ortholog_one2one,ENSGALG00000019961,SLC18B1
,,,ENSGALG00000047660,
Ciao1,ENSMUSG00000003662,ortholog_one2one,ENSGALG00000035817,CIAO1
Rnf169,ENSMUSG00000058761,ortholog_one2one,ENSGALG00000017309,RNF169
,,,ENSGALG00000053582,
,,,ENSGALG00000049986,
Idh2,ENSMUSG00000030541,ortholog_one2one,ENSGALG00000034434,IDH2
Pdf,ENSMUSG00000078931,ortholog_one2one,ENSGALG00000049153,PDF
Itgbl1,ENSMUSG00000032925,ortholog_one2one,ENSGALG00000016867,ITGBL1
,,,ENSGALG00000049917,
